0,1
,One of LCUSP’s goals is to advance these technologies to the level that can then be used to fabricate a test article
"to advance the TRL of the techniques10. Testing of a 4K lb thrust class methane cooled chamber printed from GRCop-
f",
"84 has been completed, as discussed below, advancing the TRL of printed GRCop-84 in these applications. A 35K lb
f",
"thrust chamber assembly (TCA), as shown in Figure 7, is under fabrication to demonstrate the bi-metallic technology",
"of EBF3 jacketing applied to SLM GRCop-84. In addition, this thrust chamber assembly (TCA) will include an",
integrated nozzle / film coolant ring (INFCR) designed and procured by LCUSP to advance one-piece SLM Inconel,
"nozzle technology. And finally, testing will conclude with the addition of a Carbon-Carbon (C-C) nozzle extension",
"as a pathfinder to evaluate high temperature, domestically produced, C-C radiatively-cooled extensions for upper stage",
engines11. The LCUSP TCA is to be tested at MSFC with a previously demonstrated SLM injector at a chamber,
"pressure of approximately 1400 psi12,13.",
