0,1
,The authors would like to thank the large team involved in the material development and hot-fire testing of the
Additively manufactured SLM GRCop-42. Thank you to Tal Wammen and the test team at Test Stand 115 for,
"performing outstanding test support as usual. Several individuals were involved in the design, development and testing",
"and provided critical support including James Buzzell, Dale Jackson, and Marissa Garcia providing hardware and test",
"support, William Carpenter providing outstanding materials support, Adam Willis for design, Will Bransdmeier, Ian",
"Johnston, and Hannah Cherry for analysis. Big thanks to Will Tilson and his mechanical test team for the significant",
number of specimens. Thank you to our critical industry partners involved in this development including Additive,
"Manufacturing and Engineering (AME), Powder Alloy Corporation (PAC), ATI, and Carpenter. Thank you to the",
"EM42 team including Megan Le Corre, Jim Lydon, Zach Jones. The GRC team including David Scannapieco , Bob",
"Carter, Brad Lerch (retired), Ivan Locci for continued material support of GRCop-42. We wish to acknowledge the",
"project offices that continue to push needs for nozzle technology and offer leadership, including Steve Wofford, John",
"Fikes, Mike Shadoan, and Keegan Jackson. Also, thank you to the many other engineers at MSFC, commercial space",
"companies, and industry that engage in technical discussions and that have contributed to these various techniques.",
